"","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales_A_737866","d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Lactobacillales","d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales","d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales","d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Clostridiales","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales_650611","d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Peptostreptococcales","d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales_993521","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales_660879"
"Phyllobates_bicolor",0.003942126,0.031411197,0,0.003313064,0.004109876,0.059048018,0.169721116,0.000796813,0,0.019417069
"Corvus_corone",0.000290601,0.050813683,0.017892727,0,0.000207572,0.881766855,0,0.041223846,0,0.001328462
"Lanius_ludovicianus",0.239726613,0.239769329,0.09867578,0.047800085,0.047330201,0.014566425,0.112046134,0.002733874,0,0
"Leiothlypis_ruficapilla",0.015530788,0.621962361,0.057189841,0.0060296,0,0.00036543,0,0.006577745,0,0
"Leuciscus_aspius",0.000403181,0.019755892,0.000183264,0,0.000403181,0.068174321,0,0.377634424,0.503207125,0.000146611
"Threskiornis_aethiopicus",0.016965092,0.109614806,0.081251881,0,0,0,0.016889859,0.001692748,0,0.044387602
"Balearica_pavonina",0.010186697,0.047703556,0.008163555,0,0,0,0.012209839,0,0,0.011641939
"Notorhynchus_cepedianus",0.091597408,0.002782082,0.000246514,0.026517819,0.104028736,0.00028173,0.00056346,0.001479082,0,0
"Hypsoblennius_gilberti",0,0.000335211,0,0,0,0,0.983675248,0,0,0
"Rana_dalmatina",0.027084542,0.003611272,0.004191655,0.034436061,0.045302122,0.000257948,0,0.000967305,0.000354679,0
"Cyprinus_carpio",0.011635888,0.758097728,0.001078608,0.000947867,0.000915182,0.173525086,0,0.003203138,0.023598627,0
"Albula_vulpes",0.112959801,0.153158467,0,0,0.002390191,0.003476641,0.000403539,0.598944591,6.21e-05,0
"Nerodia_sipedon",0.054048319,0.522568129,0.0131559,0.00348601,0.009578951,0.060959714,0,0.018248507,0.294583043,0.001818788
"Manis_pentadactyla",0.018607443,0.004158806,0.082833133,0.001714972,0.004630424,0.021394272,0.001157606,0.017964329,0.023409364,0.164422912
"Chloris_chloris",0.001583238,0.234420265,0.733140201,0,0,0.006063464,0.002155898,0,0,0
"Porichthys_notatus",0.003356096,0.916885543,0.000233468,0.000642036,0.000642036,0.001400805,0,0.007441779,0,0
"Proteles_cristata",0.106771654,0.007129563,0.127329993,0.076449535,0.203636364,0.124810308,0,0.086614173,0.00329277,0.000114531
"Myripristis_berndti",0.029923103,0.050986292,0,0.007940488,0.025548869,0.734230469,0.003900591,0.06976485,0.023849326,0
"Zaedyus_pichiy",0.114280394,0.078338868,0.04578044,0.041062727,0.065272044,0.008938825,0,0.022316025,0.002855458,0.006393743
"Acrocephalus_scirpaceus",0.037267581,0.002441577,0.861420407,0.000187814,0.000402458,0.00155617,0.000429288,0.000160983,0.001824475,0
"Saguinus_oedipus",0.050252215,0.024894342,0.023094751,0.01540559,0.012760736,0.010006817,0.030674847,0.007743695,0.002399455,0.048398091
"Myrsidea",0.019757183,0.006749114,0.019040796,0.000904909,0.01210316,0.000791795,0.022434206,0.002563909,0.000263932,0.043888093
"Cacatua_haematuropygia",0,0.003260363,0,0,0,0.010829064,0.006287844,0,0,0.000698649
"Cacatua_moluccensis",0.000275264,0.543853009,0.02611568,0,0,0,0.001066648,0,0,0.00051612
"Testudo_hermanni",0.064717542,0.001090188,0.027428147,0.179063429,0.143607532,0.032111001,0.000173439,0.032011893,0.04197225,0.004088206
"Gibbonsia_elegans",0,0.00022087,0,0,0,0,0.980956121,0,0,0
"Prinia_flavicans",0,0.440432987,0.430015017,0,0,0.024715305,0.00872857,0.000813415,0,0.009792266
"Cercotrichas_paena",0.026033774,0.652359818,0.116908422,0,0,0.000676553,0.011744966,0,0,0.016534964
"Sebastes_auriculatus",0.000142786,0.776040551,0.000690131,0,4.76e-05,0.210585184,7.14e-05,0,0.002855715,0
"Incilius_signifer",0.007782734,0.093787752,0,0.006667596,0.000348481,0.007480717,0.017145247,0.004112071,0,0.012382678
"Bubulcus_ibis",0.000592242,0,0.996545257,0,0,0.00128319,0,0,0.000493535,0.001085776
"Cercopithecus_wolfi",0.247270814,0.046889386,0.007497041,0.124797229,0.003047043,0,0.199789557,0.003595072,0,0.015279057
"Urocolius_macrourus",0.570333256,0.025215567,0.072920065,0.00142158,0.021300396,0.002610114,0.03619203,0,0,0.006035889
"Carassius_gibelio",0.000480088,0.436712355,0.012602319,0.000672124,7.2e-05,0.005016923,0.02489258,0.000720133,0.081639022,0.02037975
"Lynx_rufus",0.26185807,0.021227076,0.022972653,0.030256664,0.258754822,0.022929552,0.00066806,0.163200655,0.041635239,0
"Tragelaphus_imberbis",0.41242284,0,0.000107167,0.202117627,0.10727452,0,0,0.00370799,0,0
