"","p__Proteobacteria","p__Firmicutes_A","p__Bacteroidota","p__Firmicutes_D","p__Fusobacteriota","p__Actinobacteriota","p__Verrucomicrobiota","p__Cyanobacteria","node","MRCA"
"node_1092",0.0386870812122715,0.421490357796864,0.370002570558714,0.113712895338745,0.000285285630591642,0.0123168344618644,0.0412036207760883,0.00230135422486154,1092,"Equus_ferus-Equus_hemionus"
"node_1093",0.0385582094112593,0.420849158843438,0.370947404521235,0.113267460971464,0.000284267117502555,0.0122156759703134,0.0415320320848385,0.00234579107994924,1093,"Equus_grevyi-Equus_zebra"
"node_1094",0.0682391270818342,0.473656748555012,0.296188559810486,0.134970685225698,0.000950724866600381,0.0106634512449308,0.0138058099793986,0.00152489323604053,1094,"Ceratotherium_simum-Diceros_bicornis-Rhinoceros_unicornis-Tapirus_bairdii-Tapirus_terrestris"
"node_1095",0.0709548403235511,0.455542537201335,0.327567716445674,0.113174187257839,0.000963147099015173,0.0100917249776981,0.0200936315967842,0.00161221509810305,1095,"Tapirus_bairdii-Tapirus_terrestris"
"node_1096",0.0556033730566876,0.465898769141759,0.331962533456961,0.116886967440112,0.000822319731976502,0.00857571632525597,0.0185319440122449,0.00171837683500302,1096,"Ceratotherium_simum-Diceros_bicornis-Rhinoceros_unicornis"
"node_1097",0.0500147060150875,0.465038673540439,0.340948870292889,0.113000597952046,0.000773016341622282,0.00779141905275998,0.0206656619449201,0.00176705486023639,1097,"Ceratotherium_simum-Diceros_bicornis"
"node_1098",0.064395683224757,0.541748910184,0.200430417615276,0.177869995926325,0.000808386060675424,0.00909219371998547,0.00462857799313663,0.00102583527584357,1098,"Addax_nasomaculatus-Aepyceros_melampus-Alcelaphus_buselaphus-Ammotragus_lervia-Antidorcas_marsupialis-Antilope_cervicapra-Axis_axis-Axis_porcinus-Babyrousa_babyrussa-Balaenoptera_borealis-Bos_frontalis-Bos_indicus-Bos_taurus-Budorcas_taxicolor-Camelus_bactrianus-Camelus_dromedarius-Capra_hircus-Capra_ibex-Capreolus_capreolus-Cephalophus_silvicultor-Cervus_elaphus-Cervus_nippon-Connochaetes_gnou-Connochaetes_taurinus-Dama_dama-Gazella_spekei-Giraffa_camelopardalis-Hippopotamus_amphibius-Hippotragus_equinus-Hippotragus_niger-Kobus_ellipsiprymnus-Lagenorhynchus_albirostris-Lama_guanicoe-Mesoplodon_bidens-Muntiacus_reevesi-Odocoileus_virginianus-Okapia_johnstoni-Oryx_beisa-Oryx_dammah-Oryx_gazella-Oryx_leucoryx-Ovis_ammon-Ovis_aries-Ovis_canadensis-Ovis_vignei-Peponocephala_electra-Phacochoerus_africanus-Phocoena_phocoena-Potamochoerus_larvatus-Potamochoerus_porcus-Pseudois_nayaur-Raphicerus_campestris-Rusa_unicolor-Sus_philippensis-Sus_scrofa-Sylvicapra_grimmia-Syncerus_caffer-Tragelaphus_angasii-Tragelaphus_eurycerus-Tragelaphus_imberbis-Tragelaphus_oryx-Tragelaphus_strepsiceros-Tragulus_javanicus-Tragulus_napu-Vicugna_vicugna"
"node_1099",0.057164461481678,0.529219770047846,0.226997394556704,0.168734400402995,0.000280974297119947,0.00857617043783921,0.00750432444408855,0.00152250433172904,1099,"Camelus_bactrianus-Camelus_dromedarius-Lama_guanicoe-Vicugna_vicugna"
"node_1100",0.0488336628518587,0.536574797857634,0.239732269339295,0.15633803426013,0.000246406488276644,0.00785903356715465,0.00857104512815971,0.00184475050749146,1100,"Lama_guanicoe-Vicugna_vicugna"
"node_1101",0.0645888763598271,0.51444248474281,0.223386423314579,0.178968349592305,0.00021511530752922,0.00918636710189248,0.00778175905920893,0.00143062452184849,1101,"Camelus_bactrianus-Camelus_dromedarius"
"node_1102",0.0598535999946982,0.552799998309793,0.198279146543543,0.174209282740788,0.000769377869525131,0.00848794960049485,0.00460124318363785,0.00099940175752077,1102,"Addax_nasomaculatus-Aepyceros_melampus-Alcelaphus_buselaphus-Ammotragus_lervia-Antidorcas_marsupialis-Antilope_cervicapra-Axis_axis-Axis_porcinus-Babyrousa_babyrussa-Balaenoptera_borealis-Bos_frontalis-Bos_indicus-Bos_taurus-Budorcas_taxicolor-Capra_hircus-Capra_ibex-Capreolus_capreolus-Cephalophus_silvicultor-Cervus_elaphus-Cervus_nippon-Connochaetes_gnou-Connochaetes_taurinus-Dama_dama-Gazella_spekei-Giraffa_camelopardalis-Hippopotamus_amphibius-Hippotragus_equinus-Hippotragus_niger-Kobus_ellipsiprymnus-Lagenorhynchus_albirostris-Mesoplodon_bidens-Muntiacus_reevesi-Odocoileus_virginianus-Okapia_johnstoni-Oryx_beisa-Oryx_dammah-Oryx_gazella-Oryx_leucoryx-Ovis_ammon-Ovis_aries-Ovis_canadensis-Ovis_vignei-Peponocephala_electra-Phacochoerus_africanus-Phocoena_phocoena-Potamochoerus_larvatus-Potamochoerus_porcus-Pseudois_nayaur-Raphicerus_campestris-Rusa_unicolor-Sus_philippensis-Sus_scrofa-Sylvicapra_grimmia-Syncerus_caffer-Tragelaphus_angasii-Tragelaphus_eurycerus-Tragelaphus_imberbis-Tragelaphus_oryx-Tragelaphus_strepsiceros-Tragulus_javanicus-Tragulus_napu"
